"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Albania","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Onshore wind energy","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Offshore wind energy","Electricity Generation (GWh)","All","2020",-
"Albania","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Offshore wind energy","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Renewable hydropower","Electricity Generation (GWh)","All","2020",5280.90
"Albania","Renewable hydropower","Electricity Generation (GWh)","On-grid","2020",5280.90
"Albania","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Renewable hydropower","Electricity Installed Capacity (MW)","All","2020",2387.00
"Albania","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2020",2387.00
"Albania","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Mixed Hydro Plants","Electricity Generation (GWh)","All","2020",-
"Albania","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Marine energy","Electricity Generation (GWh)","All","2020",-
"Albania","Marine energy","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Marine energy","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Marine energy","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Marine energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Solid biofuels","Electricity Generation (GWh)","All","2020",-
"Albania","Solid biofuels","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Solid biofuels","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Solid biofuels","Electricity Installed Capacity (MW)","All","2020",-
